Load;Heat;Wind
378.8556351;740.4114569;15.6575
380.8864126;757.0366872;15.26
392.0520389;765.3644775;14.735
408.3349324;747.4267734;18.5675
402.5480553;764.7128427;31.3
398.2217813;773.7951367;39.89
394.0365972;775.7110433;47.1125
387.5089605;760.5414471;46.72
374.337407;738.1049107;43.055
360.7533752;715.670443;48.5075
352.6922955;702.3211357;55.6275
348.6791617;678.7949212;68.8325
345.4075704;670.6530376;79.44
345.1082501;674.5648059;78.295
347.441213;669.2179689;76.7675
355.9391163;682.3630091;59.12
373.8448863;723.7439131;41.8175
395.2648342;764.9812634;28.1375
401.4895151;787.9209553;21.89
400.7795768;767.2020659;14.7075
402.0066641;767.1935902;10.2125
402.8728281;751.514375;8.015
399.5916511;747.6246081;15.63
399.6726164;751.2413871;14.335
397.037512;733.8474906;14.155
399.4522737;725.3434238;17.345
407.5062962;726.560261;18.8725
420;721.2820759;25.0275
415.8651327;714.6877719;24.3575
409.5796884;700.0131462;23.615
405.0510605;666.5261976;26.8175
399.0880145;660.174634;27.385
385.7498744;641.9030504;24.7475
371.7099942;622.8723906;19.0975
360.6501188;590.378659;23.445
356.8471023;565.0350633;27.3725
352.9783435;564.328272;24.9875
353.1035866;565.5097283;28.0025
355.532084;549.2918427;31.17
360.8923471;573.1352909;19.0425
371.8838528;615.9949269;21.1225
389.9647882;656.5675608;17.0925
396.4175673;683.3943425;19.475
395.3680839;683.8230066;25.5275
394.8816717;676.2276895;28.5975
395.189342;674.2135887;39.245
392.5898892;675.2649579;40.025
392.7978044;690.9228346;50.1275
390.5642615;702.42083;38.0475
391.2217819;705.3116745;35.94
398.9925572;713.4133583;32.805
415.4297778;698.8477051;34.9775
413.2132722;695.1298015;40.51
407.5203334;705.392157;42.3675
400.788939;685.6155947;45.7825
388.7620164;670.1459138;44.545
375.122859;656.594827;40.4375
364.6957994;614.8757568;30.35
